"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
16, 5549.99793539178, 2096.21562996419, 5549.99793539178, 5932.67199920568, 74.0204205488998, 204.38572582251, 74.0204205488998
17, 639.553262320728, 238.11705459542, 5549.99793539178, 5932.67199920568, 25.8531227005086, 5.51954371561169, 74.0204205488998
18, 189.779841084489, 40.8313348410109, 5549.99793539178, 5932.67199920568, 25.0862079365731, 1.71478497522613, 74.0204205488998
19, 196.835868879051, 42.4749379266877, 5549.99793539178, 5932.67199920568, 25.1208696077423, 1.93503131791547, 74.0204205488998
20, 197.264185864664, 42.480107721763, 5549.99793539178, 5932.67199920568, 25.1221562403414, 1.94378842715202, 74.0204205488998
21, 178.00324471977, 38.0307151412126, 5549.99793539178, 5932.67199920568, 25.0572431420174, 1.53156341209426, 74.0204205488998
22, 181.706814860746, 38.8306658795571, 5549.99793539178, 5932.67199920568, 25.0703824836531, 1.61674025656872, 74.0204205488998
23, 188.435003759098, 40.2949878805647, 5549.99793539178, 5932.67199920568, 25.0971072303022, 1.78659810988883, 74.0204205488998
24, 183.326455655503, 39.0597078399515, 5549.99793539178, 5932.67199920568, 25.0807323549918, 1.68237850082626, 74.0204205488998
25, 181.419583197891, 39.5046928441547, 5549.99793539178, 5932.67199920568, 25.0544420407907, 1.50717556359126, 74.0204205488998
26, 191.114085589907, 41.734438482146, 5549.99793539178, 5932.67199920568, 25.0888003257034, 1.72485280714935, 74.0204205488998
27, 194.381307679226, 43.3533240979744, 5549.99793539178, 5932.67199920568, 25.0707507529563, 1.60576352590468, 74.0204205488998
28, 208.631895223014, 48.4491373803958, 5549.99793539178, 5932.67199920568, 25.0772290591195, 1.61890176361817, 74.0204205488998
29, 213.480342713518, 48.5477130302892, 5549.99793539178, 5932.67199920568, 25.1112380112187, 1.84485028094984, 74.0204205488998
30, 277.639522050285, 71.5630549280952, 5549.99793539178, 5932.67199920568, 25.148039941404, 2.00902400410995, 74.0204205488998
31, 7582.96513239456, 2812.3950456186, 7582.96513239456, 8087.70215152188, 113.09146165628, 360.841765121686, 113.09146165628
32, 7534.81029703644, 2797.44862983863, 7582.96513239456, 8087.70215152188, 112.493769483443, 357.854955934173, 113.09146165628
33, 7629.30500361782, 2853.10661538431, 7629.30500361782, 8145.33683753948, 115.078341339126, 365.428959060729, 115.078341339126
34, 7459.57340214812, 2861.76253555045, 7629.30500361782, 8145.33683753948, 112.682466128235, 357.877120100493, 115.078341339126
35, 7388.63183620048, 2893.0377750436, 7629.30500361782, 8145.33683753948, 112.870338580788, 360.027606706093, 115.078341339126
36, 7394.10981475509, 2963.55897110369, 7629.30500361782, 8145.33683753948, 115.678622751852, 372.914111324987, 115.678622751852
37, 7227.4685102209, 2909.58664833841, 7629.30500361782, 8145.33683753948, 112.145597561782, 359.723745101537, 115.678622751852
38, 7811.25317084436, 3128.41877275152, 7811.25317084436, 8414.432845815, 125.721482014053, 412.691760281331, 125.721482014053
39, 7939.36674568343, 3166.55324940568, 7939.36674568343, 8547.54957890187, 128.494705554208, 423.144392352753, 128.494705554208
