"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
31, "Line.L9", 310, 600, 101.425867768781, 52.4033650138702, 7.19955785679463, 314.420190082514, 314.420190083221, 314.420190081105 
32, "Line.L9", 310, 600, 100.797483845171, 52.0786999866717, 7.19955785679463, 312.472199919341, 312.47219992003, 312.472199917941 
33, "Line.L9", 310, 600, 103.07432520367, 53.2550680218963, 7.19955785679463, 319.530408130698, 319.530408131378, 319.530408129304 
34, "Line.L9", 310, 600, 100.822208585042, 52.0914744356053, 7.19955785679463, 312.548846612995, 312.548846613632, 312.548846611548 
35, "Line.L9", 310, 600, 100.027690622537, 51.6809734883109, 7.19955785679463, 310.085840929207, 310.085840929866, 310.085840927818 
36, "Line.L9", 310, 600, 100.409777681508, 51.8783851354457, 7.19955785679463, 311.270310811893, 311.270310812674, 311.27031081059 
38, "Line.L9", 310, 600, 106.392158471134, 54.9692818767527, 7.19955785679463, 329.815691259633, 329.815691260516, 329.815691258401 
39, "Line.L9", 310, 600, 108.240902872887, 55.9244664843251, 7.19955785679463, 335.546798905027, 335.546798905951, 335.546798903821 
40, "Line.L9", 310, 600, 110.558078244462, 57.1216737596387, 7.19955785679463, 342.730042556937, 342.730042557832, 342.730042555692 
41, "Line.L9", 310, 600, 113.963792862494, 58.881292978955, 7.19955785679463, 353.287757872783, 353.28775787373, 353.287757871563 
42, "Line.L9", 310, 600, 110.194028530241, 56.933581407291, 7.19955785679463, 341.60148844293, 341.601488443746, 341.601488441638 
43, "Line.L9", 310, 600, 103.12530163284, 53.281405843634, 7.19955785679463, 319.688435061124, 319.688435061804, 319.688435059739 
44, "Line.L9", 310, 600, 103.009898031016, 53.2217806493584, 7.19955785679463, 319.330683895475, 319.33068389615, 319.330683894032 
57, "Line.L9", 310, 600, 112.20804603152, 57.9741571162855, 7.19955785679463, 347.844942696881, 347.844942697713, 347.844942695561 
58, "Line.L9", 310, 600, 111.433734206268, 57.5740960065716, 7.19955785679463, 345.444576038464, 345.44457603943, 345.444576037249 
59, "Line.L9", 310, 600, 111.243335732296, 57.475723461686, 7.19955785679463, 344.854340769182, 344.854340770116, 344.854340767907 
60, "Line.L9", 310, 600, 115.040420081801, 59.4375503755971, 7.19955785679463, 356.625302252505, 356.625302253583, 356.625302251451 
61, "Line.L9", 310, 600, 111.016864121521, 57.3587131294526, 7.19955785679463, 344.152278775698, 344.152278776715, 344.152278774482 
62, "Line.L9", 310, 600, 123.106351227702, 63.6049481343127, 7.19955785679463, 381.629688804696, 381.629688805876, 381.629688803683 
63, "Line.L9", 310, 600, 125.384706368033, 64.7820982901505, 7.19955785679463, 388.692589739719, 388.692589740903, 388.692589738714 
64, "Line.L9", 310, 600, 126.317582627325, 65.264084357451, 7.19955785679463, 391.584506143516, 391.584506144706, 391.58450614246 
65, "Line.L9", 310, 600, 127.185638585708, 65.7125799359491, 7.19955785679463, 394.275479614512, 394.275479615695, 394.2754796135 
66, "Line.L9", 310, 600, 119.794510440703, 61.8938303943631, 7.19955785679463, 371.362982365122, 371.362982366179, 371.362982364033 
67, "Line.L9", 310, 600, 109.548486107546, 56.6000511555656, 7.19955785679463, 339.600306932519, 339.600306933394, 339.600306931218 
68, "Line.L9", 310, 600, 108.859906041973, 56.2442847883526, 7.19955785679463, 337.465708729237, 337.465708730116, 337.465708727908 
81, "Line.L9", 310, 600, 116.981033179792, 60.4402004762256, 7.19955785679463, 362.641202856384, 362.641202857354, 362.641202855224 
82, "Line.L9", 310, 600, 119.401348986886, 61.6906969765575, 7.19955785679463, 370.144181858316, 370.144181859345, 370.144181857153 
83, "Line.L9", 310, 600, 122.471146255518, 63.2767588986842, 7.19955785679463, 379.660553391007, 379.660553392105, 379.660553389924 
84, "Line.L9", 310, 600, 124.433831331083, 64.2908128543927, 7.19955785679463, 385.744877125079, 385.744877126356, 385.744877124145 
85, "Line.L9", 310, 600, 117.356058910001, 60.6339637701672, 7.19955785679463, 363.803782619878, 363.803782621003, 363.803782618813 
86, "Line.L9", 310, 600, 128.536992967177, 66.4107796997081, 7.19955785679463, 398.464678197017, 398.464678198249, 398.464678196161 
87, "Line.L9", 310, 600, 129.614009787435, 66.9672383901745, 7.19955785679463, 401.803430339733, 401.803430341047, 401.803430338825 
88, "Line.L9", 310, 600, 129.499052507642, 66.9078437956152, 7.19955785679463, 401.447062772397, 401.447062773691, 401.44706277146 
89, "Line.L9", 310, 600, 130.747348418135, 67.5527966827031, 7.19955785679463, 405.316780094955, 405.316780096219, 405.316780094031 
90, "Line.L9", 310, 600, 122.801548736438, 63.4474668471596, 7.19955785679463, 380.684801081893, 380.684801082958, 380.684801080755 
91, "Line.L9", 310, 600, 111.881149561969, 57.8052606070174, 7.19955785679463, 346.831563641207, 346.831563642104, 346.831563639915 
92, "Line.L9", 310, 600, 111.101060390222, 57.4022145349478, 7.19955785679463, 344.413287208794, 344.413287209687, 344.41328720747 
93, "Line.L9", 310, 600, 100.122940928774, 51.7301861465332, 7.19955785679463, 310.381116878415, 310.381116879199, 310.381116876952 
105, "Line.L9", 310, 600, 117.981680285839, 60.9572014810166, 7.19955785679463, 365.743208885104, 365.7432088861, 365.743208883923 
106, "Line.L9", 310, 600, 119.809369032579, 61.9015073334994, 7.19955785679463, 371.409043999926, 371.409044000996, 371.409043998812 
107, "Line.L9", 310, 600, 122.62834334977, 63.3579773973814, 7.19955785679463, 380.14786438315, 380.147864384288, 380.147864382083 
108, "Line.L9", 310, 600, 125.675384121482, 64.932281796099, 7.19955785679463, 389.593690775335, 389.593690776594, 389.593690774384 
109, "Line.L9", 310, 600, 118.004346667161, 60.9689124446996, 7.19955785679463, 365.813474667107, 365.813474668198, 365.813474666031 
110, "Line.L9", 310, 600, 129.477572341842, 66.8967457099516, 7.19955785679463, 401.380474258457, 401.380474259709, 401.38047425753 
111, "Line.L9", 310, 600, 130.293336838637, 67.3182240332959, 7.19955785679463, 403.909344198436, 403.909344199775, 403.909344197559 
112, "Line.L9", 310, 600, 131.588348887742, 67.9873135919999, 7.19955785679463, 407.923881550694, 407.923881551999, 407.923881549817 
113, "Line.L9", 310, 600, 131.879468545624, 68.1377254152391, 7.19955785679463, 408.826352490169, 408.826352491435, 408.826352489227 
114, "Line.L9", 310, 600, 123.418138943791, 63.7660384542922, 7.19955785679463, 382.596230724638, 382.596230725753, 382.596230723553 
115, "Line.L9", 310, 600, 112.317911981017, 58.0309211901923, 7.19955785679463, 348.185527140264, 348.185527141153, 348.185527139003 
116, "Line.L9", 310, 600, 111.50544133085, 57.6111446876058, 7.19955785679463, 345.666868124698, 345.666868125635, 345.666868123451 
