Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,948878,-,-,-,40.21,-85.38,-5,287,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
1998,1,1,0,0,0,0,0,-13,160.36,0.866,1.8,78.98,-11,990.0
1998,1,1,0,30,0,0,0,-13,162.51,0.866,2.1,78.96000000000001,-11,990.0
1998,1,1,1,0,0,0,0,-14,162.51,0.866,2.5,78.47,-11,990.0
1998,1,1,1,30,0,0,0,-14,160.34,0.866,2.9000000000000004,78.46000000000001,-11,990.0
1998,1,1,2,0,0,0,0,-13,156.62,0.866,3.3000000000000003,79.66,-11,990.0
1998,1,1,2,30,0,0,0,-13,151.97,0.866,3.5,79.62,-11,990.0
1998,1,1,3,0,0,0,0,-13,146.8,0.866,3.8000000000000003,82.14,-11,990.0
1998,1,1,3,30,0,0,0,-13,141.33,0.866,4.1000000000000005,82.11,-11,990.0
1998,1,1,4,0,0,0,0,-12,135.7,0.866,4.4,85.52,-11,990.0
1998,1,1,4,30,0,0,0,-12,130.0,0.866,4.6000000000000005,78.98,-10,990.0
1998,1,1,5,0,0,0,0,-12,124.28,0.866,4.9,82.52,-10,990.0
1998,1,1,5,30,0,0,0,-12,118.57000000000001,0.866,5.1000000000000005,76.26,-9,990.0
1998,1,1,6,0,0,0,0,-11,112.92,0.866,5.4,79.33,-9,990.0
1998,1,1,6,30,0,0,0,-11,107.35000000000001,0.866,5.6000000000000005,79.32000000000001,-9,990.0
1998,1,1,7,0,0,0,0,-11,101.91,0.866,5.800000000000001,80.96000000000001,-9,990.0
1998,1,1,7,30,0,0,0,-11,96.61,0.866,6.0,74.88,-8,990.0
1998,1,1,8,0,0,0,0,-11,91.51,0.866,6.300000000000001,75.79,-8,990.0
1998,1,1,8,30,22,312,40,-11,86.64,0.866,6.6000000000000005,70.15,-7,990.0
1998,1,1,9,0,41,527,113,-10,82.05,0.866,7.0,69.26,-6,990.0
1998,1,1,9,30,54,652,192,-10,77.8,0.866,7.2,59.52,-4,990.0
1998,1,1,10,0,65,734,268,-9,73.96000000000001,0.866,7.5,62.81,-3,990.0
1998,1,1,10,30,73,789,335,-9,70.59,0.866,8.200000000000001,54.17,-1,980.0
1998,1,1,11,0,162,115,205,-7,67.76,0.866,8.9,58.25,0,980.0
1998,1,1,11,30,124,536,346,-7,65.56,0.866,9.0,58.21,0,980.0
