Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,948878,-,-,-,40.21,-85.38,-5,287,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2005,1,1,0,0,0,0,0,4,160.33,0.138,1.4000000000000001,100.0,5,990.0
2005,1,1,0,30,0,0,0,4,162.48,0.138,1.2000000000000002,100.0,4,990.0
2005,1,1,1,0,0,0,0,2,162.49,0.138,1.2000000000000002,100.0,3,990.0
2005,1,1,1,30,0,0,0,2,160.33,0.138,1.2000000000000002,100.0,2,990.0
2005,1,1,2,0,0,0,0,1,156.62,0.138,1.3,99.75,2,990.0
2005,1,1,2,30,0,0,0,1,151.97,0.138,1.4000000000000001,100.0,1,990.0
2005,1,1,3,0,0,0,0,0,146.8,0.138,1.5,97.94,1,990.0
2005,1,1,3,30,0,0,0,0,141.34,0.138,1.6,100.0,0,990.0
2005,1,1,4,0,0,0,0,0,135.71,0.138,1.8,99.06,0,990.0
2005,1,1,4,30,0,0,0,0,130.01,0.138,2.0,99.07000000000001,0,990.0
2005,1,1,5,0,0,0,0,0,124.28,0.138,2.3000000000000003,94.9,0,990.0
2005,1,1,5,30,0,0,0,0,118.58,0.138,2.5,94.92,0,990.0
2005,1,1,6,0,0,0,0,-1,112.93,0.138,2.9000000000000004,91.82000000000001,0,990.0
2005,1,1,6,30,0,0,0,-1,107.36,0.138,3.1,91.86,0,990.0
2005,1,1,7,0,0,0,0,-1,101.91,0.138,3.4000000000000004,90.19,0,990.0
2005,1,1,7,30,0,0,0,-1,96.62,0.138,3.6,90.21000000000001,0,990.0
2005,1,1,8,0,0,0,0,-1,91.51,0.138,3.9000000000000004,90.13,0,990.0
2005,1,1,8,30,2,0,2,-1,86.64,0.138,4.0,90.15,0,990.0
2005,1,1,9,0,6,0,6,-1,82.05,0.138,4.1000000000000005,86.31,1,990.0
2005,1,1,9,30,10,0,10,-1,77.8,0.138,4.1000000000000005,86.33,1,990.0
2005,1,1,10,0,29,0,29,0,73.95,0.138,4.2,83.16,2,990.0
2005,1,1,10,30,17,0,17,0,70.58,0.138,4.2,77.45,3,990.0
2005,1,1,11,0,20,0,20,0,67.75,0.138,4.3,75.72,4,990.0
2005,1,1,11,30,22,0,22,0,65.55,0.138,4.3,70.59,5,990.0
2005,1,1,12,0,57,0,57,1,64.03,0.138,4.4,71.38,6,990.0
2005,1,1,12,30,59,0,59,1,63.25,0.138,4.3,71.36,6,990.0
2005,1,1,13,0,58,0,58,2,63.24,0.138,4.2,77.8,6,990.0
2005,1,1,13,30,23,0,23,2,64.0,0.138,4.1000000000000005,77.78,6,990.0
2005,1,1,14,0,57,0,57,3,65.5,0.138,4.0,78.31,7,990.0
2005,1,1,14,30,79,0,79,3,67.69,0.138,3.8000000000000003,78.3,7,990.0
2005,1,1,15,0,38,0,38,4,70.5,0.138,3.6,83.75,7,990.0
2005,1,1,15,30,45,0,45,4,73.86,0.138,3.2,89.71000000000001,6,990.0
2005,1,1,16,0,12,0,12,5,77.7,0.138,2.8000000000000003,93.55,6,990.0
2005,1,1,16,30,7,0,7,4,81.94,0.138,2.5,100.0,5,990.0
2005,1,1,17,0,2,0,2,4,86.52,0.138,2.2,100.0,5,990.0
2005,1,1,17,30,0,0,0,4,91.39,0.138,2.1,100.0,5,990.0
2005,1,1,18,0,0,0,0,4,96.49000000000001,0.138,2.1,100.0,5,990.0
2005,1,1,18,30,0,0,0,4,101.78,0.138,2.1,100.0,5,990.0
2005,1,1,19,0,0,0,0,6,107.22,0.138,2.2,100.0,6,990.0
2005,1,1,19,30,0,0,0,6,112.79,0.138,2.2,100.0,6,990.0
2005,1,1,20,0,0,0,0,6,118.44,0.138,2.2,100.0,6,990.0
2005,1,1,20,30,0,0,0,6,124.14,0.138,2.4000000000000004,100.0,6,990.0
2005,1,1,21,0,0,0,0,6,129.86,0.138,2.6,100.0,6,990.0
2005,1,1,21,30,0,0,0,6,135.56,0.138,2.8000000000000003,100.0,6,990.0
2005,1,1,22,0,0,0,0,7,141.19,0.138,3.1,100.0,7,990.0
2005,1,1,22,30,0,0,0,7,146.65,0.138,3.2,100.0,7,990.0
2005,1,1,23,0,0,0,0,7,151.82,0.138,3.3000000000000003,100.0,7,990.0
2005,1,1,23,30,0,0,0,7,156.47,0.138,3.5,100.0,7,990.0
2005,1,2,0,0,0,0,0,7,160.20000000000002,0.138,3.7,100.0,7,990.0
2005,1,2,0,30,0,0,0,7,162.38,0.138,3.9000000000000004,100.0,7,990.0
2005,1,2,1,0,0,0,0,8,162.42000000000002,0.138,4.1000000000000005,100.0,8,990.0
2005,1,2,1,30,0,0,0,8,160.3,0.138,4.1000000000000005,100.0,8,990.0
2005,1,2,2,0,0,0,0,8,156.62,0.138,4.3,100.0,8,990.0
2005,1,2,2,30,0,0,0,8,151.99,0.138,4.2,100.0,8,990.0
2005,1,2,3,0,0,0,0,8,146.83,0.138,4.2,100.0,8,990.0
2005,1,2,3,30,0,0,0,8,141.37,0.138,4.2,100.0,8,990.0
2005,1,2,4,0,0,0,0,8,135.75,0.138,4.3,100.0,8,990.0
2005,1,2,4,30,0,0,0,8,130.05,0.138,4.4,100.0,8,980.0
2005,1,2,5,0,0,0,0,8,124.32000000000001,0.138,4.5,100.0,8,980.0
2005,1,2,5,30,0,0,0,8,118.62,0.138,4.4,100.0,8,980.0
2005,1,2,6,0,0,0,0,8,112.96000000000001,0.138,4.4,100.0,8,980.0
2005,1,2,6,30,0,0,0,8,107.39,0.138,4.3,100.0,8,980.0
2005,1,2,7,0,0,0,0,8,101.94,0.138,4.3,100.0,8,980.0
2005,1,2,7,30,0,0,0,8,96.64,0.138,4.4,100.0,8,980.0
2005,1,2,8,0,0,0,0,9,91.53,0.138,4.6000000000000005,100.0,9,980.0
2005,1,2,8,30,12,0,12,9,86.65,0.138,4.800000000000001,100.0,9,980.0
2005,1,2,9,0,36,0,36,9,82.05,0.138,5.1000000000000005,100.0,10,980.0
2005,1,2,9,30,62,0,62,10,77.79,0.138,5.300000000000001,94.62,11,980.0
2005,1,2,10,0,8,0,8,11,73.93,0.138,5.5,96.53,12,990.0
2005,1,2,10,30,28,0,28,11,70.54,0.138,5.300000000000001,96.52,12,980.0
2005,1,2,11,0,16,0,16,12,67.71000000000001,0.138,5.1000000000000005,95.03,13,980.0
2005,1,2,11,30,44,0,44,12,65.49,0.138,5.0,95.0,13,980.0
2005,1,2,12,0,87,0,87,12,63.96,0.138,5.0,93.0,14,980.0
2005,1,2,12,30,88,0,88,12,63.17,0.138,4.9,92.96000000000001,14,980.0
2005,1,2,13,0,86,0,86,13,63.15,0.138,4.800000000000001,91.06,15,980.0
2005,1,2,13,30,62,0,62,13,63.89,0.138,4.6000000000000005,91.04,15,980.0
2005,1,2,14,0,110,0,110,14,65.38,0.138,4.4,94.22,15,980.0
2005,1,2,14,30,48,0,48,14,67.56,0.138,3.9000000000000004,94.23,15,980.0
2005,1,2,15,0,59,0,59,14,70.37,0.138,3.4000000000000004,96.05,15,980.0
2005,1,2,15,30,8,0,8,14,73.73,0.138,2.7,100.0,14,980.0
2005,1,2,16,0,11,0,11,13,77.56,0.138,2.0,100.0,13,980.0
2005,1,2,16,30,7,0,7,11,81.8,0.138,1.9000000000000001,100.0,12,980.0
2005,1,2,17,0,2,0,2,11,86.38,0.138,1.8,100.0,11,980.0
2005,1,2,17,30,0,0,0,11,91.25,0.138,1.8,100.0,11,980.0
2005,1,2,18,0,0,0,0,11,96.35000000000001,0.138,1.9000000000000001,100.0,11,980.0
2005,1,2,18,30,0,0,0,9,101.64,0.138,1.8,100.0,10,990.0
2005,1,2,19,0,0,0,0,9,107.08,0.138,1.8,100.0,10,990.0
2005,1,2,19,30,0,0,0,9,112.65,0.138,1.7000000000000002,100.0,10,990.0
2005,1,2,20,0,0,0,0,9,118.3,0.138,1.6,100.0,10,990.0
2005,1,2,20,30,0,0,0,9,124.0,0.138,1.4000000000000001,100.0,9,990.0
2005,1,2,21,0,0,0,0,9,129.72,0.138,1.3,100.0,9,990.0
2005,1,2,21,30,0,0,0,8,135.42000000000002,0.138,1.2000000000000002,100.0,9,990.0
2005,1,2,22,0,0,0,0,8,141.05,0.138,1.1,100.0,9,990.0
2005,1,2,22,30,0,0,0,8,146.51,0.138,1.2000000000000002,100.0,8,990.0
2005,1,2,23,0,0,0,0,8,151.68,0.138,1.4000000000000001,100.0,8,990.0
2005,1,2,23,30,0,0,0,8,156.33,0.138,1.6,100.0,8,990.0
2005,1,3,0,0,0,0,0,8,160.07,0.138,1.8,100.0,8,990.0
2005,1,3,0,30,0,0,0,8,162.27,0.138,1.7000000000000002,100.0,8,990.0
2005,1,3,1,0,0,0,0,8,162.34,0.138,1.7000000000000002,100.0,8,990.0
2005,1,3,1,30,0,0,0,7,160.26,0.138,1.5,100.0,7,990.0
2005,1,3,2,0,0,0,0,7,156.61,0.138,1.4000000000000001,100.0,7,990.0
2005,1,3,2,30,0,0,0,7,152.0,0.138,1.2000000000000002,100.0,7,980.0
2005,1,3,3,0,0,0,0,7,146.85,0.138,1.2000000000000002,100.0,7,980.0
2005,1,3,3,30,0,0,0,6,141.4,0.138,1.2000000000000002,100.0,6,980.0
2005,1,3,4,0,0,0,0,6,135.78,0.138,1.4000000000000001,100.0,6,980.0
2005,1,3,4,30,0,0,0,6,130.08,0.138,1.5,100.0,6,980.0
2005,1,3,5,0,0,0,0,6,124.36,0.138,1.7000000000000002,100.0,6,980.0
2005,1,3,5,30,0,0,0,4,118.65,0.138,1.5,100.0,5,980.0
2005,1,3,6,0,0,0,0,4,112.99000000000001,0.138,1.4000000000000001,100.0,5,980.0
2005,1,3,6,30,0,0,0,4,107.42,0.138,1.3,100.0,4,980.0
2005,1,3,7,0,0,0,0,4,101.96000000000001,0.138,1.3,100.0,4,980.0
2005,1,3,7,30,0,0,0,4,96.66,0.138,1.5,100.0,4,980.0
2005,1,3,8,0,0,0,0,4,91.54,0.138,1.8,99.5,5,980.0
2005,1,3,8,30,12,0,12,4,86.65,0.138,2.0,99.47,5,980.0
2005,1,3,9,0,37,0,37,4,82.04,0.138,2.3000000000000003,100.0,5,980.0
2005,1,3,9,30,78,20,82,5,77.77,0.138,2.2,97.71000000000001,6,980.0
2005,1,3,10,0,84,0,84,6,73.9,0.138,2.2,98.95,7,980.0
2005,1,3,10,30,87,0,87,6,70.5,0.138,1.9000000000000001,98.9,7,980.0
2005,1,3,11,0,149,31,161,8,67.65,0.138,1.7000000000000002,100.0,8,980.0
2005,1,3,11,30,66,0,66,8,65.42,0.138,1.4000000000000001,100.0,8,980.0
2005,1,3,12,0,49,0,49,8,63.88,0.138,1.2000000000000002,100.0,8,980.0
2005,1,3,12,30,65,0,65,8,63.08,0.138,1.3,100.0,8,980.0
2005,1,3,13,0,62,0,62,8,63.04,0.138,1.5,100.0,8,980.0
2005,1,3,13,30,143,0,143,8,63.78,0.138,2.0,100.0,8,980.0
2005,1,3,14,0,15,0,15,9,65.26,0.138,2.6,100.0,9,980.0
2005,1,3,14,30,36,0,36,8,67.43,0.138,2.3000000000000003,100.0,8,980.0
2005,1,3,15,0,11,0,11,8,70.23,0.138,2.1,100.0,8,980.0
2005,1,3,15,30,12,0,12,8,73.59,0.138,1.7000000000000002,100.0,8,980.0
2005,1,3,16,0,64,0,64,8,77.42,0.138,1.4000000000000001,100.0,8,980.0
2005,1,3,16,30,37,0,37,7,81.66,0.138,1.1,100.0,7,980.0
2005,1,3,17,0,13,0,13,6,86.24,0.138,0.8,100.0,6,980.0
2005,1,3,17,30,0,0,0,4,91.10000000000001,0.138,0.9,100.0,5,980.0
2005,1,3,18,0,0,0,0,4,96.2,0.138,1.0,100.0,5,980.0
2005,1,3,18,30,0,0,0,4,101.49000000000001,0.138,1.2000000000000002,100.0,4,980.0
2005,1,3,19,0,0,0,0,4,106.94,0.138,1.4000000000000001,100.0,4,980.0
2005,1,3,19,30,0,0,0,4,112.5,0.138,1.6,100.0,4,980.0
2005,1,3,20,0,0,0,0,4,118.15,0.138,1.9000000000000001,100.0,4,980.0
2005,1,3,20,30,0,0,0,2,123.86,0.138,2.3000000000000003,100.0,3,980.0
2005,1,3,21,0,0,0,0,2,129.58,0.138,2.7,100.0,3,980.0
2005,1,3,21,30,0,0,0,2,135.28,0.138,2.8000000000000003,100.0,2,980.0
2005,1,3,22,0,0,0,0,2,140.9,0.138,2.9000000000000004,100.0,2,980.0
2005,1,3,22,30,0,0,0,1,146.36,0.138,2.7,100.0,1,980.0
2005,1,3,23,0,0,0,0,1,151.54,0.138,2.6,100.0,1,980.0
2005,1,3,23,30,0,0,0,1,156.19,0.138,2.4000000000000004,100.0,1,980.0
2005,1,4,0,0,0,0,0,0,159.93,0.138,2.3000000000000003,99.96000000000001,1,980.0
2005,1,4,0,30,0,0,0,0,162.15,0.138,2.3000000000000003,99.97,1,980.0
2005,1,4,1,0,0,0,0,0,162.26,0.138,2.4000000000000004,97.93,1,980.0
2005,1,4,1,30,0,0,0,0,160.22,0.138,2.4000000000000004,100.0,0,980.0
2005,1,4,2,0,0,0,0,0,156.59,0.138,2.4000000000000004,100.0,0,980.0
2005,1,4,2,30,0,0,0,0,152.0,0.138,2.2,100.0,0,980.0
2005,1,4,3,0,0,0,0,0,146.87,0.138,2.1,100.0,0,980.0
2005,1,4,3,30,0,0,0,0,141.42000000000002,0.138,2.1,100.0,0,980.0
2005,1,4,4,0,0,0,0,0,135.81,0.138,2.2,100.0,0,980.0
2005,1,4,4,30,0,0,0,0,130.11,0.138,2.3000000000000003,100.0,0,980.0
2005,1,4,5,0,0,0,0,0,124.39,0.138,2.4000000000000004,100.0,0,980.0
2005,1,4,5,30,0,0,0,0,118.68,0.138,2.4000000000000004,100.0,0,980.0
2005,1,4,6,0,0,0,0,0,113.02,0.138,2.4000000000000004,100.0,0,980.0
2005,1,4,6,30,0,0,0,0,107.44,0.138,2.2,100.0,0,980.0
2005,1,4,7,0,0,0,0,0,101.98,0.138,2.1,100.0,0,980.0
2005,1,4,7,30,0,0,0,0,96.67,0.138,2.2,100.0,0,980.0
2005,1,4,8,0,0,0,0,0,91.54,0.138,2.3000000000000003,100.0,0,980.0
2005,1,4,8,30,2,0,2,0,86.64,0.138,2.5,100.0,0,990.0
2005,1,4,9,0,6,0,6,0,82.03,0.138,2.7,97.63,1,990.0
2005,1,4,9,30,38,0,38,0,77.75,0.138,2.6,97.65,1,990.0
2005,1,4,10,0,110,61,127,1,73.87,0.138,2.5,95.91,2,990.0
2005,1,4,10,30,53,0,53,1,70.46000000000001,0.138,2.5,95.91,2,990.0
2005,1,4,11,0,103,0,103,2,67.59,0.138,2.5,94.8,3,990.0
2005,1,4,11,30,146,5,148,2,65.35,0.138,2.7,94.73,3,980.0
2005,1,4,12,0,155,6,157,2,63.79,0.138,3.0,91.48,4,980.0
2005,1,4,12,30,177,26,189,2,62.980000000000004,0.138,3.0,91.43,4,980.0
2005,1,4,13,0,126,0,126,3,62.93,0.138,3.0,93.33,4,980.0
2005,1,4,13,30,65,0,65,3,63.660000000000004,0.138,2.4000000000000004,93.38,4,980.0
2005,1,4,14,0,79,0,79,3,65.13,0.138,1.9000000000000001,94.46000000000001,4,980.0
2005,1,4,14,30,139,8,142,2,67.3,0.138,2.3000000000000003,100.0,3,980.0
2005,1,4,15,0,66,0,66,2,70.09,0.138,2.8000000000000003,100.0,3,980.0
2005,1,4,15,30,46,0,46,2,73.44,0.138,2.8000000000000003,100.0,3,980.0
2005,1,4,16,0,30,0,30,2,77.27,0.138,2.8000000000000003,100.0,3,980.0
2005,1,4,16,30,17,0,17,2,81.51,0.138,2.5,100.0,3,980.0
2005,1,4,17,0,6,0,6,2,86.09,0.138,2.4000000000000004,99.87,3,980.0
2005,1,4,17,30,0,0,0,2,90.95,0.138,2.5,99.86,3,980.0
2005,1,4,18,0,0,0,0,2,96.05,0.138,2.7,99.46000000000001,3,980.0
2005,1,4,18,30,0,0,0,2,101.34,0.138,2.8000000000000003,99.43,3,980.0
2005,1,4,19,0,0,0,0,2,106.79,0.138,2.9000000000000004,98.89,3,980.0
2005,1,4,19,30,0,0,0,2,112.35000000000001,0.138,3.0,100.0,2,980.0
2005,1,4,20,0,0,0,0,2,118.0,0.138,3.1,100.0,2,980.0
2005,1,4,20,30,0,0,0,2,123.71000000000001,0.138,3.2,100.0,2,980.0
2005,1,4,21,0,0,0,0,2,129.43,0.138,3.4000000000000004,100.0,2,980.0
