Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,948878,-,-,-,40.21,-85.38,-5,287,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2003,1,1,0,0,0,0,0,-3,160.39000000000001,0.14400000000000002,5.2,84.11,-1,980.0
2003,1,1,0,30,0,0,0,-3,162.54,0.14400000000000002,5.300000000000001,84.08,-1,970.0
2003,1,1,1,0,0,0,0,-3,162.52,0.14400000000000002,5.5,82.51,-1,970.0
2003,1,1,1,30,0,0,0,-3,160.35,0.14400000000000002,5.6000000000000005,82.48,-1,970.0
2003,1,1,2,0,0,0,0,-3,156.62,0.14400000000000002,5.7,81.02,-1,970.0
2003,1,1,2,30,0,0,0,-3,151.96,0.14400000000000002,5.9,80.99,-1,970.0
2003,1,1,3,0,0,0,0,-4,146.79,0.14400000000000002,6.1000000000000005,79.72,-1,970.0
2003,1,1,3,30,0,0,0,-4,141.32,0.14400000000000002,6.300000000000001,79.68,-1,970.0
2003,1,1,4,0,0,0,0,-4,135.69,0.14400000000000002,6.5,78.76,-1,970.0
2003,1,1,4,30,0,0,0,-4,129.99,0.14400000000000002,6.4,78.73,-1,970.0
2003,1,1,5,0,0,0,0,-4,124.26,0.14400000000000002,6.4,84.46000000000001,-2,970.0
2003,1,1,5,30,0,0,0,-4,118.56,0.14400000000000002,6.5,84.46000000000001,-2,970.0
2003,1,1,6,0,0,0,0,-4,112.91,0.14400000000000002,6.7,83.72,-2,970.0
2003,1,1,6,30,0,0,0,-4,107.34,0.14400000000000002,6.800000000000001,83.72,-2,970.0
2003,1,1,7,0,0,0,0,-4,101.9,0.14400000000000002,6.9,82.76,-2,970.0
2003,1,1,7,30,0,0,0,-4,96.60000000000001,0.14400000000000002,6.9,82.76,-2,970.0
2003,1,1,8,0,0,0,0,-4,91.5,0.14400000000000002,6.9,82.76,-2,970.0
2003,1,1,8,30,2,0,2,-4,86.63,0.14400000000000002,7.2,82.76,-2,970.0
2003,1,1,9,0,6,0,6,-4,82.05,0.14400000000000002,7.6000000000000005,84.26,-2,970.0
2003,1,1,9,30,11,0,11,-4,77.8,0.14400000000000002,7.6000000000000005,78.29,-1,970.0
2003,1,1,10,0,32,0,32,-3,73.96000000000001,0.14400000000000002,7.7,80.2,-1,970.0
2003,1,1,10,30,81,0,81,-3,70.59,0.14400000000000002,7.7,80.19,-1,970.0
2003,1,1,11,0,110,0,110,-3,67.77,0.14400000000000002,7.800000000000001,80.65,-1,970.0
2003,1,1,11,30,124,0,124,-3,65.57000000000001,0.14400000000000002,7.6000000000000005,74.97,0,970.0
2003,1,1,12,0,122,0,122,-3,64.06,0.14400000000000002,7.4,75.15,0,970.0
2003,1,1,12,30,162,11,167,-3,63.29,0.14400000000000002,7.1000000000000005,75.14,0,970.0
2003,1,1,13,0,188,51,211,-3,63.29,0.14400000000000002,6.9,75.36,0,970.0
2003,1,1,13,30,78,804,430,-3,64.05,0.14400000000000002,6.6000000000000005,75.37,0,970.0
2003,1,1,14,0,168,298,291,-3,65.56,0.14400000000000002,6.300000000000001,75.10000000000001,0,970.0
2003,1,1,14,30,158,71,186,-3,67.75,0.14400000000000002,6.0,75.12,0,970.0
2003,1,1,15,0,113,404,248,-4,70.56,0.14400000000000002,5.7,74.18,0,970.0
2003,1,1,15,30,77,0,77,-4,73.93,0.14400000000000002,5.300000000000001,74.21000000000001,0,970.0
2003,1,1,16,0,59,0,59,-4,77.77,0.14400000000000002,4.9,72.54,0,970.0
2003,1,1,16,30,40,469,106,-4,82.01,0.14400000000000002,4.3,78.04,-1,970.0
2003,1,1,17,0,22,265,38,-5,86.59,0.14400000000000002,3.8000000000000003,79.61,-2,970.0
2003,1,1,17,30,0,0,0,-5,91.46000000000001,0.14400000000000002,3.7,79.64,-2,970.0
2003,1,1,18,0,0,0,0,-5,96.56,0.14400000000000002,3.7,76.3,-2,970.0
2003,1,1,18,30,0,0,0,-5,101.85000000000001,0.14400000000000002,3.6,76.33,-2,970.0
2003,1,1,19,0,0,0,0,-6,107.29,0.866,3.6,79.46000000000001,-3,970.0
2003,1,1,19,30,0,0,0,-6,112.86,0.866,3.5,79.47,-3,970.0
2003,1,1,20,0,0,0,0,-6,118.51,0.866,3.5,82.74,-4,970.0
2003,1,1,20,30,0,0,0,-6,124.21000000000001,0.866,3.4000000000000004,82.74,-4,970.0
2003,1,1,21,0,0,0,0,-6,129.93,0.866,3.4000000000000004,86.10000000000001,-5,970.0
2003,1,1,21,30,0,0,0,-6,135.63,0.866,3.3000000000000003,86.09,-5,970.0
2003,1,1,22,0,0,0,0,-7,141.26,0.866,3.2,83.69,-5,970.0
2003,1,1,22,30,0,0,0,-7,146.72,0.866,3.1,83.69,-5,970.0
2003,1,1,23,0,0,0,0,-7,151.89000000000001,0.866,3.0,88.34,-5,970.0
2003,1,1,23,30,0,0,0,-7,156.54,0.866,2.9000000000000004,88.35000000000001,-5,970.0
2003,1,2,0,0,0,0,0,-7,160.27,0.866,2.9000000000000004,86.81,-6,980.0
2003,1,2,0,30,0,0,0,-7,162.44,0.866,3.0,86.81,-6,980.0
