hour, t(sec), P1 (kW), Q1 (kvar)
35, 1800.00000, 7885.94, 2941.66
35, 2700.00000, 7953.48, 2970.01
36, 0.00000, 8005.8, 2992.21
36, 900.00000, 7780.04, 2896.97
36, 1800.00000, 7813.1, 2910.63
36, 2700.00000, 7848.39, 2925.53
37, 0.00000, 7878.14, 2938.11
37, 900.00000, 8194.52, 3072.45
37, 1800.00000, 8316.96, 3124.73
37, 2700.00000, 8365.26, 3145.1
38, 0.00000, 8396.24, 3158.62
38, 900.00000, 8433.11, 3174.39
38, 1800.00000, 8460.94, 3186.38
38, 2700.00000, 8478.4, 3193.98
39, 0.00000, 8483.26, 3196.21
39, 900.00000, 8482.98, 3196.27
39, 1800.00000, 8478.05, 3194.31
39, 2700.00000, 8480.13, 3195.34
40, 0.00000, 8489.44, 3199.32
40, 900.00000, 8492.4, 3200.67
40, 1800.00000, 8514.69, 3210.16
40, 2700.00000, 8532.48, 3217.82
41, 0.00000, 8544.08, 3222.86
41, 900.00000, 8096.51, 3031.24
41, 1800.00000, 8084.86, 3026.28
41, 2700.00000, 8096.33, 3031.2
42, 0.00000, 8107.61, 3036.03
42, 900.00000, 7676.37, 2854.26
42, 1800.00000, 7649.62, 2843.24
42, 2700.00000, 7639.99, 2839.41
43, 0.00000, 7638.13, 2838.66
43, 900.00000, 7635.58, 2837.65
43, 1800.00000, 7633.79, 2836.93
43, 2700.00000, 7632.35, 2836.35
44, 0.00000, 7631.07, 2835.83
44, 900.00000, 4087.53, 1425.72
44, 1800.00000, 6864.75, 2505.34
44, 2700.00000, 6427.36, 2338.87
45, 0.00000, 6492.08, 2363.85
45, 900.00000, 1544.43, 513.487
45, 1800.00000, 7087.27, 2626.14
45, 2700.00000, 7245.52, 2672.25
46, 0.00000, 7376.07, 2731.46
46, 900.00000, 6967.6, 2567.68
46, 1800.00000, 1474.97, 496.926
46, 2700.00000, 157.336, 30.7184
47, 0.00000, 178.262, 35.9756
47, 900.00000, 206.348, 45.2899
47, 1800.00000, 208.789, 46.1035
47, 2700.00000, 279.531, 69.8399
48, 0.00000, 994.859, 313.975
48, 900.00000, 1407.38, 459.447
48, 1800.00000, 1969.33, 654.926
48, 2700.00000, 2008.54, 671.556
49, 0.00000, 1319.1, 426.349
49, 900.00000, 942.861, 297.894
49, 1800.00000, 347.891, 98.4347
49, 2700.00000, 341.542, 94.8697
50, 0.00000, 245.807, 63.2337
50, 900.00000, 252.008, 65.1301
50, 1800.00000, 1039.35, 331.715
50, 2700.00000, 1136.15, 364.766
51, 0.00000, 1195.36, 385.325
51, 900.00000, 1452.92, 477.232
51, 1800.00000, 1046.56, 333.881
51, 2700.00000, 1123.6, 362.221
52, 0.00000, 983.584, 314.089
